Chapitre du thésaurus	Code CIM10	Libellé du thésaurus
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S44.9	LES. TRAUMA. D'UN NERF DE L'EPAULE OU DU BRAS
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S45.9	LES. TRAUMA. D'UN VAISSEAU SANGUIN DE L'EPAULE OU DU BRAS
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S46.9	LES. TRAUMA. DE TENDON DE L'EPAULE OU DU  BRAS
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S47	ECRASEMENT DE L'EPAULE, BRAS
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S48.0	AMPUT. TRAUMA. DE L'EPAULE
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S48.1	AMPUT. TRAUMA. DU BRAS
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S50.0	CONTUSION DU COUDE
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S50.1	CONTUSION DE L'AVANT-BRAS
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S51.0	PLAIE  DU COUDE
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S51.8	PLAIE   DE L'AVANT-BRAS
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S52.0	FRAC. DE LA PARTIE SUP. DU CUBITUS (SAI)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S52.00	FRAC. DE LA PARTIE SUP. DU CUBITUS (FERMEE)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S52.01	FRAC. DE LA PARTIE SUP. DU CUBITUS (OUVERTE)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S52.1	FRAC. DE L'EXTREMITE SUP. DU RADIUS (SAI)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S52.10	FRAC. DE L'EXTREMITE SUP. DU RADIUS (FERMEE)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S52.11	FRAC. DE L'EXTREMITE SUP. DU RADIUS (OUVERTE)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S52.2	FRAC. DE LA DIAPHYSE DU CUBITUS (SAI)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S52.20	FRAC. DE LA DIAPHYSE DU CUBITUS (FERMEE)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S52.21	FRAC. DE LA DIAPHYSE DU CUBITUS (OUVERTE)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S52.3	FRAC. DE LA DIAPHYSE DU RADIUS (SAI)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S52.30	FRAC. DE LA DIAPHYSE DU RADIUS (FERMEE)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S52.31	FRAC. DE LA DIAPHYSE DU RADIUS (OUVERTE)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S52.4	FRAC. DES DEUX DIAPHYSES, CUBITALE ET RADIALE (SAI)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S52.40	FRAC. DES DEUX DIAPHYSES, CUBITALE ET RADIALE (FERMEE)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S52.41	FRAC. DES DEUX DIAPHYSES, CUBITALE ET RADIALE (OUVERTE)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S52.5	FRAC. DE L'EXTREMITE INF. DU RADIUS (SAI)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S52.50	FRAC. DE L'EXTREMITE INF. DU RADIUS (FERMEE)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S52.51	FRAC. DE L'EXTREMITE INF. DU RADIUS (OUVERTE)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S52.6	FRAC. DE L'EXTREMITE INF. DU CUBITUS ET DU RADIUS (SAI)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S52.60	FRAC. DE L'EXTREMITE INF. DU CUBITUS ET DU RADIUS (FERMEE)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S52.61	FRAC. DE L'EXTREMITE INF. DU CUBITUS ET DU RADIUS (OUVERTE)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S52.8	FRAC. DE L'EXTREMITE INF. DU CUBITUS (SAI)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S52.80	FRAC. DE L'EXTREMITE INF. DU CUBITUS (FERMEE)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S52.81	FRAC. DE L'EXTREMITE INF. DU CUBITUS (OUVERTE)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S53.1	LUXATION  DU COUDE
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S53.4	ENTORSE DU COUDE
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S54.9	LES. TRAUMA. D'UN NERF DU COUDE OU DE L'AVANT BRAS
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S55.9	LES. TRAUMA. D'UN VAISSEAU SANGUIN DU COUDE OU DE L'AVANT BRAS 
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S56.8	LES. TRAUMA. DE TENDONS DU COUDE OU DE L'AVANT BRAS
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S57.0	ECRASEMENT DU COUDE
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S57.8	ECRASEMENT DE L'AVANT BRAS
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S58.0	AMPUT. TRAUMA. DU COUDE
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S58.1	AMPUT. TRAUMA. DE L'AVANT BRAS
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S60.0	CONTUSION DE DOIGT SANS LESION DE L'ONGLE
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S60.1	CONTUSION DE DOIGT ET DE L'ONGLE
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S60.2	CONTUSION DU POIGNET
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S60.9	CONTUSION DE LA MAIN
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S61.0	PLAIE  DE DOIGT SANS LESION DE L'ONGLE
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S61.1	PLAIE  DE DOIGT AVEC LESION DE L'ONGLE
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S61.9	PLAIE  DU POIGNET OU DE LA MAIN
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S62.0	FRAC. DE L'OS SCAPHOIDE DE LA MAIN (SAI)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S62.00	FRAC. DE L'OS SCAPHOIDE DE LA MAIN (FERMEE)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S62.01	FRAC. DE L'OS SCAPHOIDE DE LA MAIN (OUVERTE)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S62.1	FRAC. D'AUTRE OS DU CARPE (SAI)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S62.10	FRAC. D'AUTRE OS DU CARPE (FERMEE)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S62.11	FRAC. D'AUTRE OS DU CARPE (OUVERTE)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S62.2	FRAC. DU 1er METACARP. (SAI)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S62.20	FRAC. DU 1er METACARP. (FERMEE)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S62.21	FRAC. DU 1er METACARP. (OUVERTE)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S62.3	FRAC. D'UN AUTRE OS DU METACARPE (SAI)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S62.30	FRAC. D'UN AUTRE OS DU METACARPE (FERMEE)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S62.31	FRAC. D'UN AUTRE OS DU METACARPE (OUVERTE)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S62.5	FRAC. DU POUCE (SAI)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S62.50	FRAC. DU POUCE (FERMEE)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S62.51	FRAC. DU POUCE (OUVERTE)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S62.6	FRAC. D'UN AUTRE DOIGT (SAI)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S62.60	FRAC. D'UN AUTRE DOIGT (FERMEE)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S62.61	FRAC. D'UN AUTRE DOIGT (OUVERTE)
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S63.0	LUXATION  DU POIGNET
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S63.1	LUXATION  DU DOIGT
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S63.5	ENTORSE DU POIGNET
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S63.6	ENTORSE DE DOIGT
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S64.9	LES. TRAUMA. D'UN NERF DU POIGNET OU DE LA MAIN
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S65.9	LES. TRAUMA. D'UN VAISSEAU SANGUIN DU POIGNET OU DE LA MAIN
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S66.9	LES. TRAUMA. D'UN TENDON DU POIGNET OU DE LA MAIN
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S67.0	ECRASEMENT DU POUCE OU D'AUTRE DOIGT
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S67.8	ECRASEMENT DU POIGNET, DE LA MAIN
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S68.0	AMPUT. TRAUMA. DU POUCE
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S68.1	AMPUT. TRAUMA. D'UN DOIGT AUTRE QUE LE POUCE
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S68.4	AMPUT. TRAUMA. DU POIGNET
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	S68.8	AMPUT. TRAUMA. DE LA MAIN SAI
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S70.0	CONTUSION DE LA HANCHE
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S70.1	CONTUSION DE LA CUISSE
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S71.0	PLAIE  DE LA HANCHE
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S71.1	PLAIE  DE LA CUISSE
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S72.0	FRAC. DU COL DU FEMUR (SAI)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S72.00	FRAC. DU COL DU FEMUR (FERMEE)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S72.01	FRAC. DU COL DU FEMUR (OUVERTE)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S72.1	FRAC. DU TROCHANTER (SAI)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S72.10	FRAC. DU TROCHANTER (FERMEE)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S72.11	FRAC. DU TROCHANTER (OUVERTE)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S72.2	FRAC. SOUS-TROCHANTERIENNE (SAI)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S72.20	FRAC. SOUS-TROCHANTERIENNE (FERMEE)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S72.21	FRAC. SOUS-TROCHANTERIENNE (OUVERTE)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S72.3	FRAC. DE LA DIAPHYSE FEMORALE (SAI)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S72.30	FRAC. DE LA DIAPHYSE FEMORALE (FERMEE)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S72.31	FRAC. DE LA DIAPHYSE FEMORALE (OUVERTE)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S72.4	FRAC. DE L'EXTREMITE INF. DU FEMUR (SAI)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S72.40	FRAC. DE L'EXTREMITE INF. DU FEMUR (FERMEE)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S72.41	FRAC. DE L'EXTREMITE INF. DU FEMUR (OUVERTE)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S73.0	LUXATION  DE LA HANCHE
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S73.1	ENTORSE DE LA HANCHE
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S74.9	LES. TRAUMA. D'UN NERF DE LA HANCHE OU DE LA CUISSE
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S75.9	LES. TRAUMA. D'UN VAISSEAU SANGUIN DE LA HANCHE OU DE LA CUISSE
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S76.0	LES. TRAUMA. DE TENDONS DE LA HANCHE
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S76.4	LES. TRAUMA. DE TENDONS DE LA CUISSE
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S77.0	ECRASEMENT DE LA HANCHE
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S77.1	ECRASEMENT DE LA CUISSE
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S78.0	AMPUT. TRAUMA. DE LA HANCHE
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S78.1	AMPUT. TRAUMA. DE LA CUISSE
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S80.0	CONTUSION DU GENOU
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S80.1	CONTUSION DE LA JAMBE
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S81.0	PLAIE  DU GENOU
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S81.8	PLAIE  DE LA JAMBE
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S82.0	FRAC. DE LA ROTULE (SAI)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S82.00	FRAC. DE LA ROTULE (FERMEE)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S82.01	FRAC. DE LA ROTULE (OUVERTE)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S82.1	FRAC. DE L'EXTREMITE SUP. DU TIBIA (SAI)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S82.10	FRAC. DE L'EXTREMITE SUP. DU TIBIA (FERMEE)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S82.11	FRAC. DE L'EXTREMITE SUP. DU TIBIA (OUVERTE)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S82.2	FRAC. DE LA DIAPHYSE DU TIBIA (SAI)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S82.20	FRAC. DE LA DIAPHYSE DU TIBIA (FERMEE)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S82.21	FRAC. DE LA DIAPHYSE DU TIBIA (OUVERTE)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S82.3	FRAC. DE L'EXTREMITE INF. DU TIBIA (SAI)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S82.30	FRAC. DE L'EXTREMITE INF. DU TIBIA (FERMEE)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S82.31	FRAC. DE L'EXTREMITE INF. DU TIBIA (OUVERTE)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S82.4	FRAC. DU PERONE SEUL (SAI)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S82.40	FRAC. DU PERONE SEUL (FERMEE)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S82.41	FRAC. DU PERONE SEUL (OUVERTE)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S82.5	FRAC. DE LA MALLEOLE INT. (SAI)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S82.50	FRAC. DE LA MALLEOLE INT. (FERMEE)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S82.51	FRAC. DE LA MALLEOLE INT. (OUVERTE)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S82.6	FRAC. DE LA MALLEOLE EXT. (SAI)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S82.60	FRAC. DE LA MALLEOLE EXT. (FERMEE)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S82.61	FRAC. DE LA MALLEOLE EXT. (OUVERTE)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S82.8	FRAC. BIMALLEOLAIRE (SAI)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S82.80	FRAC. BIMALLEOLAIRE (FERMEE)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S82.81	FRAC. BIMALLEOLAIRE (OUVERTE)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S83.0	LUXATION  DE LA ROTULE
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S83.1	LUXATION  DU GENOU
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S83.4	ENTORSE DU GENOU
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S83.6	ENTORSE DE LA ROTULE
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S84.9	LES. TRAUMA. D'UN NERF DU GENOU OU DE LA JAMBE
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S85.9	LES. TRAUMA. D'UN VAISSEAU SANGUIN DU GENOU OU DE LA JAMBE
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S86.9	LES. TRAUMA. D'UN TENDON DE LA JAMBE OU DU GENOU
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S87.0	ECRASEMENT DU GENOU
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S87.8	ECRASEMENT DE LA JAMBE
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S88.0	AMPUT. TRAUMA. DU GENOU
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S88.1	AMPUT. TRAUMA. DE LA JAMBE
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S90.0	CONTUSION DE LA CHEVILLE
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S90.1	CONTUSION D'UN ORTEIL
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S90.2	CONTUSION D'UN ORTEIL AVEC LESION DE L'ONGLE
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S90.3	CONTUSION DU PIED
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S91.0	PLAIE  DE LA CHEVILLE
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S91.1	PLAIE  D'UN ORTEIL SANS LESION DE L'ONGLE
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S91.2	PLAIE  D'UN ORTEIL AVEC LESION DE L'ONGLE
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S91.3	PLAIE DU PIED
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S92.0	FRAC. DU CALCANEUM (SAI)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S92.00	FRAC. DU CALCANEUM (FERMEE)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S92.01	FRAC. DU CALCANEUM (OUVERTE)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S92.1	FRAC. DE L'ASTRAGALE (SAI)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S92.10	FRAC. DE L'ASTRAGALE (FERMEE)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S92.11	FRAC. DE L'ASTRAGALE (OUVERTE)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S92.2	FRAC. D'AUTRES OS DU TARSE (SAI)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S92.20	FRAC. D'AUTRES OS DU TARSE (FERMEE)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S92.21	FRAC. D'AUTRES OS DU TARSE (OUVERTE)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S92.3	FRAC. D'OS DU METATARSE (SAI)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S92.30	FRAC. D'OS DU METATARSE (FERMEE)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S92.31	FRAC. D'OS DU METATARSE (OUVERTE)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S92.4	FRAC. DU GROS ORTEIL (SAI)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S92.40	FRAC. DU GROS ORTEIL (FERMEE)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S92.41	FRAC. DU GROS ORTEIL (OUVERTE)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S92.5	FRAC. D'UN AUTRE ORTEIL (SAI)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S92.50	FRAC. D'UN AUTRE ORTEIL (FERMEE)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S92.51	FRAC. D'UN AUTRE ORTEIL (OUVERTE)
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S93.0	LUXATION  DE LA CHEVILLE
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S93.1	LUXATION  D'UN ORTEIL
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S93.3	LUXATION  DE PARTIES NCA OU SAI DU PIED
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S93.4	ENTORSE DE LA CHEVILLE
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S93.5	ENTORSE D'UN ORTEIL
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S93.6	ENTORSE DU PIED
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S94.9	LES. TRAUMA. D'UN NERF DE LA CHEVILLE OU DU PIED
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S95.9	LES. TRAUMA. D'UN VAISSEAU SANGUIN DE LA CHEVILLE OU DU PIED
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S96.9	LES. TRAUMA. D'UN TENDON DE LA CHEVILLE OU DU PIED
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S97.0	ECRASEMENT DE LA CHEVILLE
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S97.1	ECRASEMENT D'UN ORTEIL
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S97.8	ECRASEMENT DU PIED
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S98.0	AMPUT. TRAUMA. DE LA CHEVILLE
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S98.1	AMPUT. TRAUMA. D'UN ORTEIL
TRAUMATOLOGIE DE MEMBRE INFERIEUR	S98.3	AMPUT. TRAUMA.  DU PIED SAI
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	T15.0	CORPS ETRANGER DANS LA CORNEE
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	T15.1	CORPS ETRANGER DANS LE SAC CONJONCTIVAL
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	T16	CORPS ETRANGER DANS L'OREILLE
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	T17.1	CORPS ETRANGER DANS UNE NARINE
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	T17.2	CORPS ETRANGER DANS LE PHARYNX
TRAUMATOLOGIE DU TRONC	T17.3	CORPS ETRANGER DANS LE LARYNX
TRAUMATOLOGIE DU TRONC	T17.4	CORPS ETRANGER DANS LA TRACHEE
TRAUMATOLOGIE DU TRONC	T17.5	CORPS ETRANGER DANS LES BRONCHES
TRAUMATOLOGIE DU TRONC	T17.8	CORPS ETRANGER PULMONAIRE
TRAUMATOLOGIE DU TRONC	T17.9	CORPS ETRANGER DES VOIES RESPIRATOIRES SAI
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	T18.0	CORPS ETRANGER DANS LA BOUCHE
TRAUMATOLOGIE DU TRONC	T18.1	CORPS ETRANGER DANS L'OESOPHAGE
TRAUMATOLOGIE DU TRONC	T18.2	CORPS ETRANGER DANS L'ESTOMAC
TRAUMATOLOGIE DU TRONC	T18.3	CORPS ETRANGER DANS L'INTESTIN GRELE
TRAUMATOLOGIE DU TRONC	T18.4	CORPS ETRANGER DANS LE COLON
TRAUMATOLOGIE DU TRONC	T18.5	CORPS ETRANGER DANS L'ANUS OU LE RECTUM
TRAUMATOLOGIE DU TRONC	T18.9	CORPS ETRANGER DIGESTIF SAI
TRAUMATOLOGIE DU TRONC	T19.0	CORPS ETRANGER DANS L'URETRE
TRAUMATOLOGIE DU TRONC	T19.1	CORPS ETRANGER DANS LA VESSIE
TRAUMATOLOGIE DU TRONC	T19.2	CORPS ETRANGER DANS LA VULVE ET LE VAGIN
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	T20.1	BRULURE DU 1er DEGRE DE LA TETE ET DU COU
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	T20.2	BRULURE DU 2d DEGRE DE LA TETE ET DU COU
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	T20.3	BRULURE DU 3eme DEGRE DE LA TETE ET DU COU
TRAUMATOLOGIE DU TRONC	T21.1	BRULURE DU 1er DEGRE DU TRONC
TRAUMATOLOGIE DU TRONC	T21.2	BRULURE DU 2d DEGRE DU TRONC
TRAUMATOLOGIE DU TRONC	T21.3	BRULURE DU 3eme DEGRE DU TRONC
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	T22.1	BRULURE DU 1er DEGRE DU Mb. SUP sauf POIGNET, MAIN
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	T22.2	BRULURE DU 2d DEGRE DU Mb. SUP sauf POIGNET, MAIN
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	T22.3	BRULURE DU 3eme DEGRE DU Mb. SUP sauf POIGNET, MAIN
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	T23.1	BRULURE DU 1er DEGRE POIGNET, MAIN
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	T23.2	BRULURE DU 2d DEGRE POIGNET, MAIN
TRAUMATOLOGIE DE MEMBRE SUPERIEUR	T23.3	BRULURE DU 3eme DEGRE POIGNET, MAIN
TRAUMATOLOGIE DE MEMBRE INFERIEUR	T24.1	BRULURE DU 1er DEGRE DU Mb. INF sauf CHEVILLE, PIED
TRAUMATOLOGIE DE MEMBRE INFERIEUR	T24.2	BRULURE DU 2d DEGRE DU Mb. INF sauf CHEVILLE, PIED
TRAUMATOLOGIE DE MEMBRE INFERIEUR	T24.3	BRULURE DU 3eme DEGRE DU Mb. INF sauf CHEVILLE, PIED
TRAUMATOLOGIE DE MEMBRE INFERIEUR	T25.1	BRULURE DU 1er DEGRE CHEVILLE, PIED
TRAUMATOLOGIE DE MEMBRE INFERIEUR	T25.2	BRULURE DU 1er DEGRE CHEVILLE, PIED
TRAUMATOLOGIE DE MEMBRE INFERIEUR	T25.3	BRULURE DU 1er DEGRE CHEVILLE, PIED
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	T26.0	BRULURE DE LA PAUPIERE ET DE LA REGION PERIOCULAIRE
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	T26.1	BRULURE DE LA CORNEE ET DU SAC CONJONCTIVAL
TRAUMATOLOGIE DE L'EXTREMITE CEPHALIQUE	T26.2	BRULURE DU GLOBE OCULAIRE
TRAUMATOLOGIE AUTRE	T35.7	GELURE, SAI
Intoxication et toxicomanie	T39.0	Intoxication aux salicylés
Intoxication et toxicomanie	T39.1	Intoxication au paracétamol
Intoxication et toxicomanie	T42.3	Intoxication aux barbituriques
Intoxication et toxicomanie	T42.4	Intoxication aux benzodiazépines
Intoxication et toxicomanie	T42.7	Intoxication aux sédatif SAI
Intoxication et toxicomanie	T43.0	Intoxication aux antidépresseurs tricycliques
Intoxication et toxicomanie	T43.5	Intoxication au méprobamate
